matrix_name,reordering,m,k,nnz,nth,median_GFLOPS_yax_basic,median_GFLOPS_yax_flushed_basic,median_GFLOPS_yax_xyp_basic,median_GFLOPS_cg_basic_spmv,median_GFLOPS_cg_basic_all
G62,baseline,7000,7000,28000,8,12.17005,11.948699999999999,11.6035,9.69031,4.893135
G62,baseline,7000,7000,28000,9,12.85005,12.3784,4.8298950000000005,10.310500000000001,4.949235
G62,baseline,7000,7000,28000,14,13.9602,13.0738,6.526145,11.9198,4.651355
G62,baseline,7000,7000,28000,15,13.5771,13.14705,12.9526,11.8658,4.571855
G62,baseline,7000,7000,28000,16,13.7087,13.08765,11.7897,11.7076,4.491265
G62,baseline,7000,7000,28000,17,13.6929,12.6619,11.81005,11.792000000000002,4.361835
G62,baseline,7000,7000,28000,18,13.786,12.8083,11.15195,11.4339,4.2999849999999995
dwt_87,baseline,87,87,541,1,0.6993395,1.0431650000000001,1.116035,1.1030099999999998,0.6443114999999999
dwt_87,baseline,87,87,541,2,0.597939,1.045125,1.023185,1.047925,0.419428
dwt_87,baseline,87,87,541,4,0.9731375,0.911125,0.8123689999999999,0.8895495,0.315434
dwt_87,baseline,87,87,541,8,0.6857575,0.633832,0.722226,0.664837,0.2102465
dwt_87,baseline,87,87,541,9,0.605312,0.6163335000000001,0.6274200000000001,0.5940235,0.1900115
dwt_87,baseline,87,87,541,14,0.45364499999999996,0.4327375,0.443185,0.435844,0.13097150000000002
dwt_87,baseline,87,87,541,15,0.46113000000000004,0.409725,0.4102405,0.3956915,0.125451
dwt_87,baseline,87,87,541,16,0.4246275,0.4089395,0.374855,0.383236,0.1169885
dwt_87,baseline,87,87,541,17,0.40762750000000003,0.36896850000000003,0.38153099999999995,0.3680585,0.114287
dwt_87,baseline,87,87,541,18,0.388873,0.356584,0.38080400000000003,0.355917,0.110269
G46,baseline,1000,1000,19980,1,1.81207,1.832435,1.84534,1.715765,1.7599900000000002
G46,baseline,1000,1000,19980,2,3.535025,3.520875,3.4329850000000004,3.2467,2.683655
G46,baseline,1000,1000,19980,4,6.4054649999999995,6.416205,6.1805900000000005,6.0359,3.651015
G46,baseline,1000,1000,19980,8,9.81802,9.46698,9.124715,9.07461,3.61207
G46,baseline,1000,1000,19980,9,10.16965,9.881485,5.685185,9.770634999999999,3.504225
G46,baseline,1000,1000,19980,14,10.9509,10.1216,6.994104999999999,9.72156,2.878795
G46,baseline,1000,1000,19980,15,10.882100000000001,9.860045,7.43101,9.72033,2.7282
G46,baseline,1000,1000,19980,16,10.5225,10.447849999999999,7.48982,9.867875000000002,2.6548
G46,baseline,1000,1000,19980,17,10.81035,9.997340000000001,8.815629999999999,9.628995,2.537135
G46,baseline,1000,1000,19980,18,10.2911,9.45681,9.08028,9.256530000000001,2.485755
bundle1,baseline,10581,10581,770901,1,1.66657,1.66602,1.6721599999999999,1.63902,1.671365
bundle1,baseline,10581,10581,770901,2,2.201895,2.2018649999999997,2.1988950000000003,2.192915,2.210135
bundle1,baseline,10581,10581,770901,4,2.628795,2.6309050000000003,2.623305,2.614925,2.663055
bundle1,baseline,10581,10581,770901,8,2.91463,2.9133199999999997,2.902835,2.907,2.955805
bundle1,baseline,10581,10581,770901,9,2.9466900000000003,2.946525,2.9422550000000003,2.939655,2.984895
bundle1,baseline,10581,10581,770901,14,3.035985,3.036615,3.031465,3.02844,3.0640650000000003
bundle1,baseline,10581,10581,770901,15,3.043555,3.053635,3.0390449999999998,3.0366799999999996,3.06514
bundle1,baseline,10581,10581,770901,16,3.04345,3.057645,3.045665,3.051295,3.0698600000000003
bundle1,baseline,10581,10581,770901,17,3.06241,3.0533099999999997,3.051215,3.05718,3.071615
bundle1,baseline,10581,10581,770901,18,3.05648,3.068885,3.05673,3.0632099999999998,3.070795
dwt_992,baseline,992,992,16744,1,2.29638,2.32676,2.3394399999999997,2.281745,2.190775
dwt_992,baseline,992,992,16744,2,4.3528649999999995,4.3610050000000005,4.344,4.269785000000001,3.12479
dwt_992,baseline,992,992,16744,4,7.413755,7.30955,7.524675,7.231275,3.738025
dwt_992,baseline,992,992,16744,8,10.1642,10.006115000000001,9.485,9.78502,3.4237900000000003
dwt_992,baseline,992,992,16744,9,10.26005,10.02685,9.882225,10.00421,3.23432
dwt_992,baseline,992,992,16744,14,10.241150000000001,9.493455,6.61941,9.7105,2.56968
dwt_992,baseline,992,992,16744,15,10.011755,9.55839,6.6711,9.24569,2.39954
dwt_992,baseline,992,992,16744,16,9.55979,9.15717,6.966654999999999,9.464575,2.345105
dwt_992,baseline,992,992,16744,17,9.50608,8.87209,6.80933,9.322715,2.290245
dwt_992,baseline,992,992,16744,18,9.30754,9.11894,8.267455,9.078515,2.2259450000000003
ex2,baseline,441,441,26839,1,1.758655,1.8142749999999999,1.817315,1.79865,1.743105
ex2,baseline,441,441,26839,2,3.416475,3.4179700000000004,3.3837599999999997,3.3519449999999997,2.80023
ex2,baseline,441,441,26839,4,6.195575,6.25336,6.18557,6.122405,4.0530349999999995
ex2,baseline,441,441,26839,8,9.804195,9.679665,9.524944999999999,9.948675000000001,4.206855
ex2,baseline,441,441,26839,9,10.047699999999999,9.731365,9.841484999999999,9.62609,3.947835
ex2,baseline,441,441,26839,14,11.61975,11.0064,11.1482,12.0394,3.423985
ex2,baseline,441,441,26839,15,11.5524,11.6012,11.40245,11.26895,3.365275
ex2,baseline,441,441,26839,16,11.92435,11.9099,11.6402,11.57425,3.178185
ex2,baseline,441,441,26839,17,11.94165,11.8169,11.799800000000001,11.9522,3.140345
ex2,baseline,441,441,26839,18,11.64805,11.867650000000001,10.9756,11.63485,2.92392
usroads-48,baseline,126146,126146,323900,1,0.6066015,0.6013675,0.6038055,0.579445,1.16901
usroads-48,baseline,126146,126146,323900,2,1.197025,1.202345,1.202885,1.14539,1.99063
usroads-48,baseline,126146,126146,323900,4,2.3815299999999997,2.378655,2.386945,2.2739000000000003,3.4413650000000002
usroads-48,baseline,126146,126146,323900,8,4.679925,4.66566,4.6505399999999995,4.442315000000001,5.336035
usroads-48,baseline,126146,126146,323900,9,5.30154,5.24598,5.260525,5.066235,5.70603
usroads-48,baseline,126146,126146,323900,14,8.26368,8.306809999999999,8.188400000000001,7.79086,6.9468499999999995
usroads-48,baseline,126146,126146,323900,15,8.89544,8.723894999999999,8.7521,8.142685,7.092575
usroads-48,baseline,126146,126146,323900,16,9.500335,9.391075,9.310945,8.88289,7.28311
usroads-48,baseline,126146,126146,323900,17,10.047775000000001,9.93164,10.000685,9.49711,7.435125
usroads-48,baseline,126146,126146,323900,18,10.56555,10.49385,10.224599999999999,9.81026,7.51244
c-65,baseline,48066,48066,360528,1,1.559075,1.562835,1.57304,1.49416,1.823245
